id,period_id,number,color,scraped_at
1,20250825100010740,8,RED,2025-08-25 12:26:01.072766+00
2,20250825100010741,2,RED,2025-08-25 12:26:01.072758+00
3,20250825100010742,9,GREEN,2025-08-25 12:26:01.072751+00
4,20250825100010743,6,RED,2025-08-25 12:26:01.072744+00
5,20250825100010744,3,GREEN,2025-08-25 12:26:01.072738+00
6,20250825100010745,1,GREEN,2025-08-25 12:26:01.072728+00
7,20250825100010746,7,GREEN,2025-08-25 12:26:01.072651+00
8,20250825100010730,2,RED,2025-08-25 12:19:34.003498+00
9,20250825100010731,5,VIOLET,2025-08-25 12:19:34.003492+00
10,20250825100010732,1,GREEN,2025-08-25 12:19:34.003486+00
11,20250825100010733,1,GREEN,2025-08-25 12:19:34.00348+00
12,20250825100010734,2,RED,2025-08-25 12:19:34.003474+00
13,20250825100010735,2,RED,2025-08-25 12:19:34.003468+00
14,20250825100010736,7,GREEN,2025-08-25 12:19:34.003461+00
15,20250825100010737,2,RED,2025-08-25 12:19:34.003456+00
16,20250825100010738,8,RED,2025-08-25 12:19:34.003449+00
17,20250825100010739,9,GREEN,2025-08-25 12:19:34.003425+00
18,20250825100010720,7,GREEN,2025-08-25 12:09:33.375486+00
19,20250825100010721,1,GREEN,2025-08-25 12:09:33.375479+00
20,20250825100010722,6,RED,2025-08-25 12:09:33.375473+00
21,20250825100010723,0,VIOLET,2025-08-25 12:09:33.375466+00
22,20250825100010724,0,VIOLET,2025-08-25 12:09:33.37546+00
23,20250825100010725,0,VIOLET,2025-08-25 12:09:33.375454+00
24,20250825100010726,8,RED,2025-08-25 12:09:33.375447+00
25,20250825100010727,6,RED,2025-08-25 12:09:33.375441+00
26,20250825100010728,8,RED,2025-08-25 12:09:33.375435+00
27,20250825100010729,5,VIOLET,2025-08-25 12:09:33.3754+00
28,20250825100010710,1,GREEN,2025-08-25 11:59:32.783102+00
29,20250825100010711,2,RED,2025-08-25 11:59:32.783097+00
30,20250825100010712,5,VIOLET,2025-08-25 11:59:32.783091+00
31,20250825100010713,7,GREEN,2025-08-25 11:59:32.783085+00
32,20250825100010714,6,RED,2025-08-25 11:59:32.783079+00
33,20250825100010715,1,GREEN,2025-08-25 11:59:32.783072+00
34,20250825100010716,4,RED,2025-08-25 11:59:32.783066+00
35,20250825100010717,6,RED,2025-08-25 11:59:32.78306+00
36,20250825100010718,5,VIOLET,2025-08-25 11:59:32.783054+00
37,20250825100010719,7,GREEN,2025-08-25 11:59:32.783024+00
38,20250825100010700,7,GREEN,2025-08-25 11:49:32.537046+00
39,20250825100010701,9,GREEN,2025-08-25 11:49:32.537041+00
40,20250825100010702,2,RED,2025-08-25 11:49:32.537035+00
41,20250825100010703,2,RED,2025-08-25 11:49:32.53703+00
42,20250825100010704,0,VIOLET,2025-08-25 11:49:32.537025+00
43,20250825100010705,6,RED,2025-08-25 11:49:32.53702+00
44,20250825100010706,2,RED,2025-08-25 11:49:32.537015+00
45,20250825100010707,0,VIOLET,2025-08-25 11:49:32.53701+00
46,20250825100010708,0,VIOLET,2025-08-25 11:49:32.537004+00
47,20250825100010709,7,GREEN,2025-08-25 11:49:32.536978+00
